"Number","Name","Canton","Published latitude","Published longitude","Coordinate type","Exact start","Parking","Nearest public transport","Primary official source","Last checked","Publication status","Uncertainties / next action"
"1","Oeschinensee","Bern","46.49835968017578","7.72667121887207","lake_center","Kandersteg (Talstation Oeschinen), 46.497478, 7.682684","Paid valley-station parking and designated hiking car parks; capacity limited","Kandersteg railway station, 46.495396, 7.671812","https://www.oeschinensee.ch/anreise/","2026-08-09","published_source_checked","Live gondola, trail, boat and taxi status must be rechecked on travel day"
"2","Seealpsee","Appenzell Innerrhoden","47.2689","9.4","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Seealpsee&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"3","Creux du Van","Neuchâtel","46.9325","6.7236","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Creux+du+Van&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"4","Matterhorn","Valais","45.9764","7.6586","summit","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Matterhorn&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"5","Jungfraujoch","Bern / Valais","46.5472","7.9806","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Jungfraujoch&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"6","Lauterbrunnen Valley","Bern","46.595","7.9075","valley_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Lauterbrunnen+Valley&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"7","Rhine Falls","Schaffhausen / Zürich","47.6780891418457","8.614919662475586","viewpoint","Neuhausen Rheinfall station (north-bank access), 47.679806, 8.616942","Official Rhine Falls P1–P4 in Neuhausen; tariffs apply","Neuhausen Rheinfall; Schloss Laufen am Rheinfall serves the south bank","https://rheinfall.ch/en/inform/journey/map","2026-08-09","published_source_checked","North- and south-bank tickets and accessibility differ"
"8","Pilatus","Obwalden / Nidwalden","46.9739","8.2411","summit","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Pilatus&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"9","Rigi","Schwyz / Lucerne","47.0567","8.485","summit","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Rigi&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"10","Stoos–Fronalpstock","Schwyz","46.9681","8.6373","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Stoos%E2%80%93Fronalpstock&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"11","Titlis","Obwalden / Bern","46.7722","8.4378","summit","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Titlis&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
